Controller_time,Current_output
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.68498
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.70055
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.69277
50:19.9,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70833
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.68498
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.68498
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.6772
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.70055
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.69277
50:20.0,97.68498
50:20.0,97.68498
50:20.0,97.68498
